voltage,current,active_power,apparent_power
224,0,8,18
224,0,8,18
224,0,9,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,9,18
224,0,8,17
224,0,10,17
224,0,9,17
224,0,8,17
224,0,7,17
224,0,7,17
224,0,7,17
225,0,7,16
225,0,7,16
225,0,7,16
225,0,7,17
225,0,7,17
225,0,7,17
225,0,7,17
225,0,6,17
225,0,6,16
225,0,6,16
225,0,6,16
225,0,6,16
225,0,9,16
225,0,8,16
225,0,6,17
225,0,9,17
225,0,8,17
224,0,8,17
224,0,8,17
224,0,8,17
224,0,8,17
224,0,9,17
225,0,6,17
225,0,6,17
225,0,5,17
225,0,5,17
225,0,5,17
225,0,5,17
225,0,2,15
225,0,2,15
225,0,2,15
225,0,2,15
225,0,2,15
225,0,2,15
225,0,2,15
224,0,1,18
224,0,1,18
224,0,1,18
224,0,1,18
224,0,1,18
224,0,1,11
224,0,1,11
224,0,1,12
224,0,1,12
225,0,1,12
225,0,1,12
225,0,1,12
225,0,1,12
225,0,1,12
225,0,1,15
225,0,1,15
225,0,1,15
225,0,1,15
225,0,1,15
225,0,1,15
225,0,1,15
225,0,9,10
225,0,9,10
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,8,19
225,0,9,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,9,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,9,18
225,0,8,18
225,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,8,18
224,0,7,17
225,0,7,17
225,0,9,17
225,0,8,17
225,0,8,17
225,0,7,17
225,0,7,17
224,0,4,16
224,0,4,16
224,0,3,16
224,0,3,16
224,0,3,16
224,0,3,16
224,0,2,16
225,0,2,12
225,0,2,12
225,0,2,12
225,0,2,16
225,0,2,16
225,0,2,16
225,0,2,16
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,17
225,0,1,17
225,0,1,17
225,0,1,17
225,0,1,17
225,0,1,17
225,0,1,16
225,0,1,16
226,0,1,16
226,0,1,16
226,0,1,16
226,0,1,16
226,0,1,16
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
226,0,9,19
226,0,9,19
226,0,9,19
226,0,9,19
226,0,8,19
225,0,8,18
225,0,8,18
225,0,8,18
225,0,8,18
225,0,8,18
225,0,9,18
225,0,10,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,7,17
225,0,7,17
225,0,7,17
225,0,9,17
225,0,8,17
225,0,8,17
225,0,7,17
225,0,3,10
225,0,2,10
225,0,2,10
225,0,2,10
225,0,2,10
225,0,2,10
225,0,2,10
225,0,1,15
225,0,1,15
225,0,1,15
225,0,1,15
225,0,1,15
225,0,1,15
225,0,1,15
225,0,1,12
225,0,1,12
225,0,1,12
225,0,1,12
225,0,1,12
225,0,1,12
225,0,1,12
226,0,1,11
226,0,1,11
226,0,1,11
226,0,1,11
226,0,1,11
226,0,1,11
226,0,1,11
225,0,1,14
225,0,9,15
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,19
225,0,9,19
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,20
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,19
225,0,9,20
225,0,9,20
225,0,9,20
225,0,3,15
225,0,3,15
225,0,3,15
226,0,3,15
226,0,2,15
226,0,2,15
226,0,2,15
226,0,2,14
225,0,1,14
225,0,1,14
225,0,1,14
225,0,1,14
225,0,1,14
225,0,1,14
225,0,1,17
225,0,1,17
225,0,1,17
225,0,1,17
225,0,1,17
225,0,1,17
225,0,1,17
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,16
225,0,1,18
225,0,1,14
225,0,1,14
225,0,8,15
225,0,8,15
225,0,8,15
225,0,8,15
225,0,8,19
225,0,8,19
225,0,9,19
226,0,8,19
226,0,9,18
226,0,9,18
226,0,9,18
226,0,9,18
226,0,9,18
226,0,9,18
225,0,9,20
225,0,9,20
226,0,9,20
226,0,9,20
226,0,9,20
226,0,9,20
226,0,9,20
226,0,8,19
225,0,8,19
225,0,9,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,9,18
225,0,8,18
225,0,8,18
225,0,8,18
225,0,8,18
225,0,8,18
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
225,0,8,19
226,0,10,18
